diameterum,index,type,laser,sweepType,intrinsicQualityFactor,couplingQualityFactor,centerWavelengthnm,resnormFit
3.6,0,disc,New Focus,DC sweep,75143.5683493331,699989.707256501,1041.89805508888,-1
3.6,0,disc,New Focus,piezo sweep,35197.6025041452,503445.10193613,1041.84493718819,-1
3.6,0,disc,Santec,DC sweep,8091.14490676985,184161.420290196,1494.55357189179,0.0187036774157437
3.6,0,disc,Santec,DC sweep,3050.16382625267,11110.1632058695,1545.25821877309,51.607946676648
3.6,0,disc,Santec,DC sweep,6755.03481708729,237827.583858393,1585.30920190974,0.00398777738420975
3.6,0,disc,Santec,DC sweep,7559.99646048246,221913.069906217,1585.31765320546,0.00745845081469405
3.9,0,disc,New Focus,DC sweep,4279.15032386391,55064.9461874497,1030.51578080877,-1
3.9,0,disc,New Focus,DC sweep,15756.5323842573,251028.638787591,1030.93796565996,-1
3.9,0,disc,New Focus,DC sweep,11854.9640946911,105256.627260306,1050.38353186332,-1
3.9,0,disc,New Focus,DC sweep,19332.2440477621,187505.485076179,1055.32620697266,-1
3.9,0,disc,New Focus,piezo sweep,101958.559532437,207840.528126329,1054.39918,123.229848031695
3.9,0,disc,New Focus,piezo sweep,38496.5314441213,824578.18812863,1054.47748,-1
3.9,0,disc,New Focus,piezo sweep,102620.182669925,185608.155021134,1054.39918,-1
3.9,0,disc,New Focus,piezo sweep,78150.4317421402,580308.632727297,1054.47748,-1
3.9,0,disc,Santec,DC sweep,9514.84312390854,365415.699362365,1507.49607773263,-1
3.9,0,disc,Santec,DC sweep,25779.961910918,511350.908545017,1559.22921774854,0
3.9,0,disc,Santec,DC sweep,20139.3435268609,248649.798010905,1592.36315938838,0
3.9,0,disc,Santec,DC sweep,7913.16364146704,1038590.02424937,1636.39296789022,0.0177760890631227
4.2,0,disc,New Focus,DC sweep,48475.696888594,132364.58827693,1044.61664551289,0.0283488908031366
4.2,0,disc,New Focus,DC sweep,24771.7523453314,114543.381878842,1046.38220440322,-1
4.2,0,disc,New Focus,DC sweep,27805.9819416113,119969.049215742,1063.88547453552,-1
4.2,0,disc,New Focus,DC sweep,14079.74817828,531843.322283799,1064.08121710991,-1
4.2,0,disc,Santec,DC sweep,2076.72071029962,21482.2377002612,1490.50255627774,0.00635319185737637
4.2,0,disc,Santec,DC sweep,22069.1867987493,848665.850604912,1495.96440961168,-1
4.2,0,disc,Santec,DC sweep,34101.2903876613,1526856.91647457,1496.02298766357,-1
4.2,0,disc,Santec,DC sweep,32940.7074349078,1355579.29627599,1527.50080336054,-1
4.2,0,disc,Santec,DC sweep,27828.0936083096,4653820.63915169,1527.6636854732,-1
4.2,0,disc,Santec,DC sweep,27636.5721090519,1098206.5430513,1527.50080336054,-1
4.2,0,disc,Santec,DC sweep,26375.8494146649,2502289.34294839,1527.6636854732,-1
4.2,0,disc,Santec,DC sweep,2279.7907171109,124497.741741359,1556.47380930021,-1
4.2,0,disc,Santec,DC sweep,1943.03392702575,6729.13898713456,1560.92483473031,-1
4.2,0,disc,Santec,DC sweep,32564.7608046294,1057371.69436045,1577.04976151031,-1
4.2,0,disc,Santec,DC sweep,19889.8173264998,437247.213992607,1608.50909415474,-1
4.2,0,disc,Santec,DC sweep,17321.472467598,854775.132843587,1608.51315893108,-1
4.2,0,disc,Santec,DC sweep,20481.3541187068,454257.828671297,1608.50909415474,-1
4.2,0,disc,Santec,DC sweep,18331.6741315023,968698.506104874,1608.51315893108,-1
4.4,0,disc,New Focus,DC sweep,62267.6146896272,386525.859793547,1042.25517070489,-1
4.4,0,disc,New Focus,piezo sweep,122302.82116223,433290.874687845,1042.30739,9.51608447206943
4.4,0,disc,New Focus,piezo sweep,146849.866957162,1456508.38934702,1042.34277,-1
4.4,0,disc,New Focus,piezo sweep,106956.750703156,398588.937550527,1042.30739,-1
4.4,0,disc,New Focus,piezo sweep,147670.596558336,1179767.79947861,1042.34277,-1
4.4,0,disc,Santec,DC sweep,2867.98577493713,251956.946908482,1480.84548495919,-1
4.4,0,disc,Santec,DC sweep,4379.41242335135,14602.8259373118,1483.45240034778,-1
4.4,0,disc,Santec,DC sweep,6351.27698460741,238332.733835945,1510.07408298348,-1
4.4,0,disc,Santec,DC sweep,25384.7583159505,400977.400227609,1536.62018872987,-1
4.4,0,disc,Santec,DC sweep,4785.76387192732,10506.6401746432,1556.36772629475,-1
4.4,0,disc,Santec,DC sweep,23248.9211480101,637070.172591139,1586.86791426143,-1
4.7,0,disc,New Focus,DC sweep,34624.2868992981,51885.2413852389,1040.52581635808,0.528362597735186
4.7,0,disc,New Focus,piezo sweep,80173.358194385,709900.868365209,1038.32225,0.00848124497819677
4.7,0,disc,New Focus,piezo sweep,93538.1267751107,1939192.82779875,1038.39815,0.0155211651013956
4.7,0,disc,Santec,DC sweep,4635.33653912785,263840.956013097,1482.58982244912,0.00861137733438852
4.7,0,disc,Santec,DC sweep,7630.30096740267,586326.049811974,1485.28535180674,0.00271704023197005
4.7,0,disc,Santec,DC sweep,3108.06832367731,84098.1502890914,1490.36724429564,0.0282090634068963
4.7,0,disc,Santec,DC sweep,4807.53406301414,42463.0151350512,1494.3473779739,0.17627381957126
4.7,0,disc,Santec,DC sweep,3087.26091624939,95441.501837912,1558.23937454558,0.0297017780988886
4.7,0,disc,Santec,DC sweep,5148.88384652189,27810.4632337142,1564.46091031905,0.864045486559188
5,0,disc,New Focus,DC sweep,23008.6077979316,101519.158238899,1054.25506041629,0.00263233102820109
5,0,disc,New Focus,DC sweep,6596.77614734283,418205.387229762,1054.53340698264,0.0254178879230073
5,0,disc,New Focus,piezo sweep,30383.8686628141,532732.704691039,1042.50463,3.95185276155347
5,0,disc,Santec,DC sweep,6781.60971634115,56213.306903224,1486.38180501949,0.158236037682378
5,0,disc,Santec,DC sweep,12205.0947201801,419587.206067506,1487.91975589826,0.00301898378089589
5,0,disc,Santec,DC sweep,6888.759530714,58386.5138259401,1516.77974278958,0.156968328142108
5,0,disc,Santec,DC sweep,28750.9181617772,632909.233104196,1532.47285524443,0.00440800282401852
5,0,disc,Santec,DC sweep,4651.48814700628,134149.258076113,1542.67392110562,0.0112065256044627
5,0,disc,Santec,DC sweep,17625.0419016076,482242.578385492,1549.29539572125,0.00599184043065354
5,0,disc,Santec,DC sweep,6128.60047500684,57434.697699437,1557.25615634115,0.163878970634756
5,0,disc,Santec,DC sweep,3105.0003375676,35316.5209684788,1586.01613766939,0.248517052004429
5,0,disc,Santec,DC sweep,11441.8865319459,92667.332948611,1601.0635481062,0.109354728365538
5,0,disc,Santec,DC sweep,4800.39680744347,187156.838381055,1610.46107935276,0.0302148740800284
5,0,disc,Santec,DC sweep,17650.9548726993,517294.514909349,1616.8499267309,0.0247532167426568
5,0,disc,Santec,DC sweep,3266.80794733678,56866.178791814,1635.45736918968,0.111601002681847
5,1,toroid,New Focus,DC sweep,26031.0980920739,116227.532311918,1033.23975659191,0.0217416948734996
5,1,toroid,New Focus,DC sweep,143384.733483008,980475.005649844,1064.7820634873,0.0618726999503067
5,1,toroid,Santec,DC sweep,11179.4454786846,351603.650164681,1481.391015445,0.00280378767987721
5,1,toroid,Santec,DC sweep,3731.3145402213,46592.8924129709,1495.41909259271,0.115654094160718
5,1,toroid,Santec,DC sweep,2026.26316464544,302758.13890655,1503.08159599406,0.0447976345852029
5,1,toroid,Santec,DC sweep,4511.9896697045,497789.161309674,1504.72252792151,0.00912368332190185
5,1,toroid,Santec,DC sweep,11175.9175523465,1411476.52130718,1505.62186569667,0.139156287232126
5,1,toroid,Santec,DC sweep,4504.01201005167,46204.3073576715,1510.79227525704,0.21037700942537
5,1,toroid,Santec,DC sweep,4173.77631438636,34718.0853906648,1515.97653825208,0.0332935008956766
5,1,toroid,Santec,DC sweep,12726.7125860459,193285.6653579,1542.90650025276,0.0078540894084654
5,1,toroid,Santec,DC sweep,13419.7316668806,420319.334171197,1544.73340488828,0.00761683145648524
5,1,toroid,Santec,DC sweep,3635.94655539031,318658.422391414,1562.47992340776,0.0127468044449807
5,1,toroid,Santec,DC sweep,19089.5097976253,329958.705564799,1570.00429397142,0.0203252589023843
5,1,toroid,Santec,DC sweep,3180.58671344603,119381.954953001,1573.52317748825,0.0203560843706898
5,1,toroid,Santec,DC sweep,3045.14394496808,14521.6353405572,1578.26143325878,0.141961482803807
5,1,toroid,Santec,DC sweep,7279.11708640725,77864.6628332714,1612.32624408616,0.0114902265514926
5,1,toroid,Santec,DC sweep,18259.0877959634,397727.598834763,1615.10505198735,0.00145372515603514
5,1,toroid,Santec,DC sweep,6302.25811528657,181777.305484416,1639.81613624562,0.000778586024927063
5,2,disc,New Focus,DC sweep,34241.3004758582,114838.870337528,1066.94670212558,5.78351218197346
5,2,disc,Santec,DC sweep,16441.6592930579,716934.923954757,1482.53094372387,0.00571349812005591
5,2,disc,Santec,DC sweep,5311.59138321066,179689.511122655,1498.869826943,0.0120227821175188
5,2,disc,Santec,DC sweep,22266.0924562425,928098.453533258,1506.39747383729,0.000952255878902604
5,2,disc,Santec,DC sweep,5795.57623487896,324088.918258912,1510.98384661516,0.014057937614899
5,2,disc,Santec,DC sweep,2938.12883843143,39259.9167519744,1513.01331269715,0.126793734551353
5,2,disc,Santec,DC sweep,17652.4727431145,1072835.75557959,1546.89566745897,0.0044477090954921
5,2,disc,Santec,DC sweep,6471.54727752918,176820.168010224,1570.13106532482,0.0214131321764617
5,2,disc,Santec,DC sweep,6008.79191535899,175728.254069563,1573.1444716082,0.0159452648237296
5,2,disc,Santec,DC sweep,6656.39717216131,28615.927205491,1579.29897084652,1.44553880167634
5,2,disc,Santec,DC sweep,15823.2482089098,691016.9658518,1617.4494661891,0.00620764872783263
5,4,disc,New Focus,DC sweep,39792.0087491513,203007.319201293,1038.31915906208,0.0341455266103354
5,4,disc,New Focus,piezo sweep,85070.5423042976,616938.468226766,1038.4165,191.390125341237
5.15,1,toroid,Santec,DC sweep,8770.15404402901,260516.990130745,1507.79338607689,0.0090490763666079
5.15,1,toroid,Santec,DC sweep,41073.8743203748,2165799.69977315,1517.92452964347,0.000929444196467434
5.15,1,toroid,Santec,DC sweep,3546.1158524357,188727.346135407,1523.6421593685,0.0132970732999716
5.15,1,toroid,Santec,DC sweep,4525.38277370916,143224.145662793,1532.59282069361,0.0299946982723614
5.15,1,toroid,Santec,DC sweep,2668.75368547649,20913.7233145106,1541.23979050983,0.322976251905733
5.15,1,toroid,Santec,DC sweep,6795.47939462365,114114.973044926,1572.28724069154,0.0478488361255328
5.15,1,toroid,Santec,DC sweep,36052.6957121498,2581999.14082389,1583.77249102328,0.000388285615324677
5.15,1,toroid,Santec,DC sweep,52208.2824482333,6783111.30999555,1583.87441002592,0.831538337382849
5.15,1,toroid,Santec,DC sweep,3131.60944987003,20336.3279167143,1608.82500950511,-1
5.15,2,disc,New Focus,DC sweep,48899.4972954448,159815.209747635,1034.28229420222,0.100628433390632
5.15,2,disc,New Focus,DC sweep,7452.17681617503,129716.313417023,1036.7227210488,0.00662327757831586
5.15,2,disc,New Focus,DC sweep,19067.9908351639,523968.069724633,1037.00713321746,0.00641306433523511
5.15,2,disc,New Focus,DC sweep,25090.2460266894,285634.908709494,1051.37929686226,-1
5.15,2,disc,Santec,DC sweep,9060.69021179937,677737.726335274,1486.12186397468,0.0021893760465194
5.15,2,disc,Santec,DC sweep,8524.70774941856,222462.211377879,1487.72279489781,0.0691902393495626
5.15,2,disc,Santec,DC sweep,3525.12247117616,58035.2642964498,1489.977278342,0.364155417550617
5.15,2,disc,Santec,DC sweep,37324.8557160137,1323593.97840577,1524.02776594415,0.0102467113802294
5.15,2,disc,Santec,DC sweep,6186.37896286893,46725.2424362234,1543.85167435875,3.18025511560512
5.15,2,disc,Santec,DC sweep,24296.2014534569,477993.753611954,1547.71296404114,0.0528202858829015
5.15,2,disc,Santec,DC sweep,8960.28932220046,24443.3472763447,1551.2933647427,0.301233888525938
5.15,2,disc,Santec,DC sweep,2946.16471069787,112937.680058617,1582.68957547936,0.00950612336173448
5.15,2,disc,Santec,DC sweep,31536.5541781261,400078.6209828,1590.30532568881,11.1446506019802
5.15,2,disc,Santec,DC sweep,27291.774494057,704138.150551008,1590.36888187994,0.26583638342956
5.15,2,disc,Santec,DC sweep,8812.95585526309,436231.063976961,1612.27677602928,-1
5.15,2,disc,Santec,DC sweep,7398.61760461822,15075.0379089958,1620.37936108202,-1
5.3,1,toroid,Santec,DC sweep,5583.89056167362,106565.605144215,1511.71052677971,0.0859076443843675
5.3,1,toroid,Santec,DC sweep,3599.89987807177,356666.82346706,1548.12975807156,0.0175653893826085
5.3,1,toroid,Santec,DC sweep,2681.01224377239,219245.22582499,1560.21092009373,0.165785826846153
5.3,1,toroid,Santec,DC sweep,34962.0419510278,1407077.06645171,1561.25902515756,0.00978227167342966
5.3,1,toroid,Santec,DC sweep,39903.3206994211,1995186.04166499,1561.30182896644,0.0457876625522339
5.3,1,toroid,Santec,DC sweep,4733.42292348343,150948.75657847,1575.9108048033,0.0277513345381601
5.3,1,toroid,Santec,DC sweep,5431.67579202958,164330.925487974,1614.66925090923,0.00343409618673208
5.3,1,toroid,Santec,DC sweep,63112.2048794551,2078007.8140512,1628.97307654231,-1
5.3,4,disc,New Focus,DC sweep,22990.0167465061,50425.4350486012,1035.2421208333,0.00286007052250525
5.3,4,disc,New Focus,DC sweep,16508.1091822143,82098.0648399644,1051.74526590154,0
5.45,1,toroid,Santec,DC sweep,7679.52416503868,203264.214590347,1480.26566371947,0.285426525562637
5.45,1,toroid,Santec,DC sweep,5422.44149936735,571380.039376234,1507.46730592443,0.00234064865941413
5.45,1,toroid,Santec,DC sweep,3011.70851056547,157321.68083062,1527.51804494832,0.0173495776841642
5.45,1,toroid,Santec,DC sweep,6380.81220809151,23189.2548227212,1541.89080656137,0.645009315833315
5.45,1,toroid,Santec,DC sweep,15776.4095231551,760316.018155059,1545.47986695345,0.0040871781953479
5.45,1,toroid,Santec,DC sweep,26475.7347297745,116665.970541028,1606.45083996019,0.207236338179993
5.45,1,toroid,Santec,DC sweep,6779.25850752055,241868.603223358,1637.16099175946,0.0352772298608972
5.45,2,disc,New Focus,DC sweep,28846.0660862471,172836.899137457,1030.54106321951,0.00624610046293623
5.45,2,disc,New Focus,DC sweep,61943.8204029086,385222.650777681,1045.82117773942,0.0108441097588357
5.45,2,disc,New Focus,DC sweep,29589.7417170142,159758.478152968,1058.89336562109,0.00581646916177193
5.45,2,disc,New Focus,piezo sweep,54774.3438508985,999371.953615336,1034.31278,0.0503909310667703
5.45,2,disc,Santec,DC sweep,11021.6946964683,141692.464309254,1486.83129639837,0.0265025641811345
5.45,2,disc,Santec,DC sweep,1005.869645574,12936.5254910629,1517.69262231784,0.381936074051124
5.45,2,disc,Santec,DC sweep,49142.6984151525,1585405.44357511,1538.4651394187,0.00252697769449319
